"Survey.Years","Sex","Age.Group","Measure","Percent","Standard.Error","Lower.95..CI.Limit","Upper.95..CI.Limit"
"2009-2010","Male","2-5","High Total Cholesterol",55,2.84,52.1964099541074,62.0818112670677
"1999-2000","Male","40-49","High Total Cholesterol",10.8,5.19,5.78614856984932,12.3321146454662
"2013-2014","Female","6-11","Obesity",63.7,0.9,61.6722183702979,71.6960541672772
"2007-2008","Male","6-11","Obesity",4.8,1.09,0.912192814820446,6.32763604780193
"2017-2018","Male","2-5","Obesity",88,4.54,82.9753028808627,93.9561648463132
"2015-2016","Male","6-11","Hypertension",85.8,1.27,81.3993004769552,93.7143531398149
"2007-2008","Female","60-69","Obesity",74.6,2.67,72.076148824906,80.8595909023657
"2003-2004","Male","60-69","Hypertension",24.7,0.81,20.9320105411345,30.2766847212799
"1999-2000","Female","40-49","Obesity",53.3,3.76,48.6413109079702,55.3511611545226
"2009-2010","Male","6-11","High Total Cholesterol",32.9,4.73,31.2231583292363,38.3410681683803
"2005-2006","Male","30-39","Obesity",86.8,3.43,84.9771545776864,91.9150433183648
"2013-2014","Female","60-69","Hypertension",77.1,5.61,75.0720727918902,81.6933838908095
"2015-2016","Female","6-11","Hypertension",65.7,5.97,63.0531652203528,67.2594283059472
"2015-2016","Male","50-59","High Total Cholesterol",71.8,4.14,65.3363313795533,79.1563470911467
"2013-2014","Male","30-39","High Total Cholesterol",67.6,3.81,62.1529946516035,71.6876371156191
"2011-2012","Male","20-29","High Total Cholesterol",31.3,5.86,25.0022722781403,35.4371561997803
"2005-2006","Male","70 and over","High Total Cholesterol",80.7,3.51,73.6615899084602,88.2323288500076
"2013-2014","Female","6-11","Hypertension",7.8,5.47,-0.179130385676399,14.3384393995628
"2007-2008","Male","20-29","Hypertension",52.1,7.44,46.9131269986043,56.3397183362627
"1999-2000","Male","2-5","Hypertension",30.7,4.62,28.7579459809232,35.7183824731503
"1999-2000","Male","12-19","Obesity",69.6,6.53,67.059963753121,74.2006082168315
